,Nodes,GW15.clusterColorID,GW19.clusterColorID,GW15.clusterID,GW19.clusterID,GW.clusterColorID,GW.clusterID
1,hsa-let-7a-3p,black,black,7,7,magenta,9
2,hsa-let-7a-5p,yellow,green,4,5,brown,3
3,hsa-let-7b-3p,black,black,7,7,magenta,9
4,hsa-let-7b-5p,yellow,green,4,5,brown,3
5,hsa-let-7c-5p,yellow,green,4,5,brown,3
6,hsa-let-7d-3p,grey,grey,0,0,turquoise,1
7,hsa-let-7d-5p,yellow,green,4,5,brown,3
8,hsa-let-7e-5p,yellow,green,4,5,brown,3
9,hsa-let-7f-1-3p,black,black,7,7,magenta,9
10,hsa-let-7f-2-3p,black,black,7,7,magenta,9
11,hsa-let-7f-5p,yellow,green,4,5,brown,3
12,hsa-let-7g-3p,grey,grey,0,0,turquoise,1
13,hsa-let-7g-5p,yellow,green,4,5,brown,3
14,hsa-let-7i-3p,grey,brown,0,3,turquoise,1
15,hsa-let-7i-5p,yellow,green,4,5,brown,3
16,hsa-miR-1-3p,grey60,grey,17,0,blue,2
17,hsa-miR-100-5p,turquoise,turquoise,1,1,purple,10
18,hsa-miR-101-3p,blue,grey,2,0,green,5
19,hsa-miR-101-5p,grey,grey,0,0,turquoise,1
20,hsa-miR-103a-2-5p,grey,grey,0,0,turquoise,1
21,hsa-miR-103a-3p,green,yellow,5,4,yellow,4
22,hsa-miR-105-5p,brown,grey,3,0,turquoise,1
23,hsa-miR-106a-5p,red,red,6,6,red,6
24,hsa-miR-106b-3p,grey,brown,0,3,turquoise,1
25,hsa-miR-106b-5p,red,red,6,6,red,6
26,hsa-miR-107,green,yellow,5,4,yellow,4
27,hsa-miR-1179,grey,brown,0,3,turquoise,1
28,hsa-miR-1180-3p,grey,grey,0,0,turquoise,1
29,hsa-miR-1185-1-3p,black,black,7,7,magenta,9
30,hsa-miR-1197,grey,grey,0,0,turquoise,1
31,hsa-miR-124-3p,grey,grey,0,0,turquoise,1
32,hsa-miR-124-5p,grey,grey,0,0,turquoise,1
33,hsa-miR-1249-3p,grey,grey,0,0,turquoise,1
34,hsa-miR-1251-5p,grey,royalblue,0,20,turquoise,1
