	x
cp14_C51_r	1
cp14_C06_r	3
cp14_C04_r	7
cp14_C21_r	7
cp14_C20_r	7
cp14_C28_r	3
cp14_C33_r	7
cp14_C37_r	1
cp14_C41_r	7
cp14_C45_r	3
gz14_C05_r	4
gz14_C12_r	11
gz14_C65_r	11
gz14_C23_r	11
gz14_C22_r	4
gz14_C27_r	4
gz14_C78_r	4
gz14_C38_r	11
gz14_C85_r	4
cp14_C49_g	1
cp14_C05_g	1
cp14_C56_g	1
cp14_C57_g	1
cp14_C12_g	8
cp14_C11_g	1
cp14_C10_g	1
cp14_C62_g	6
cp14_C63_g	3
cp14_C18_g	1
cp14_C16_g	1
cp14_C19_g	1
cp14_C24_g	1
cp14_C22_g	1
cp14_C71_g	1
cp14_C74_g	8
cp14_C30_g	11
cp14_C81_g	1
cp14_C35_g	11
cp14_C84_g	7
cp14_C82_g	11
cp14_C90_g	1
cp14_C91_g	1
cp14_C94_g	11
gz14_C03_g	11
gz14_C02_g	10
gz14_C01_g	10
gz14_C04_g	6
gz14_C56_g	11
gz14_C10_g	11
gz14_C15_g	11
gz14_C13_g	1
gz14_C62_g	11
gz14_C63_g	11
gz14_C18_g	4
gz14_C19_g	11
gz14_C68_g	10
gz14_C69_g	10
gz14_C24_g	11
gz14_C70_g	10
gz14_C71_g	4
gz14_C25_g	10
gz14_C75_g	11
gz14_C74_g	10
gz14_C29_g	11
gz14_C30_g	11
gz14_C77_g	10
gz14_C33_g	4
gz14_C81_g	1
gz14_C34_g	4
gz14_C36_g	10
gz14_C82_g	11
gz14_C37_g	4
gz14_C39_g	6
gz14_C87_g	11
gz14_C86_g	4
gz14_C42_g	11
gz14_C43_g	11
gz14_C44_g	11
gz14_C45_g	1
gz14_C92_g	11
gz14_C91_g	6
gz14_C46_g	11
gz14_C47_g	11
gz14_C48_g	6
gz14_C95_g	11
gz14_C94_g	11
cp14_C55_e	7
cp14_C59_e	1
cp14_C67_e	4
cp14_C73_e	7
cp14_C76_e	3
gz14_C50_e	10
gz14_C06_e	1
gz14_C52_e	4
gz14_C08_e	11
gz14_C07_e	11
gz14_C55_e	10
gz14_C58_e	11
gz14_C60_e	10
gz14_C61_e	10
gz14_C16_e	10
gz14_C66_e	11
gz14_C21_e	4
gz14_C67_e	1
gz14_C72_e	4
gz14_C32_e	10
gz14_C79_e	11
gz14_C35_e	10
gz14_C41_e	10
gz14_C88_e	11
gz14_C96_e	10
cp14_C64_d	11
cp14_C80_d	1
gz14_C17_d	10
gz14_C64_d	10
gz14_C28_d	11
gz14_C31_d	4
gz14_C80_d	10
gz14_C89_d	4
gz14_C93_d	11
gz17_S02	2
gz17_S03	5
gz17_S05	5
gz17_S06	9
gz17_S07	2
gz17_S09	2
gz17_S10	4
gz17_S11	2
gz17_S12	5
gz17_S13	9
gz17_S14	2
gz17_S15	2
gz17_S16	2
gz17_S17	2
gz17_S18	9
gz17_S19	1
gz17_S20	5
gz17_S21	5
gz17_S22	9
gz17_S23	9
gz17_S24	10
gz17_S25	10
gz17_S26	2
gz17_S27	5
gz17_S28	5
gz17_S29	5
gz17_S32	5
gz17_S33	6
gz17_S34	6
gz17_S35	5
gz17_S36	6
gz17_S37	9
gz17_S38	6
gz17_S41	5
gz17_S42	9
gz17_S43	11
gz17_S44	11
gz17_S45	10
gz17_S47	1
gz17_S48	1
gz17_S49	3
gz17_S50	9
gz17_S52	5
gz17_S53	5
gz17_S54	3
gz17_S56	5
gz17_S57	2
gz17_S58	2
gz17_S59	1
gz17_S60	5
gz17_S61	11
gz17_S62	6
gz17_S63	6
gz17_S64	5
gz17_S65	9
gz17_S66	10
gz17_S68	10
gz17_S69	3
gz17_S70	10
gz17_S71	6
gz17_S73	5
gz17_S74	3
gz17_S75	10
gz17_S76	2
gz17_S77	5
gz17_S78	10
gz17_S79	6
gz17_S80	5
gz17_S81	2
gz17_S84	5
gz17_S85	6
gz17_S86	4
gz17_S87	1
gz17_S88	5
gz17_S89	5
gz17_S90	9
gz17_S91	1
gz17_S92	6
gz17_S95	5
gz17_S96	5
cp17_S01	9
cp17_S02	3
cp17_S03	6
cp17_S06	8
cp17_S08	8
cp17_S09	8
cp17_S10	8
cp17_S11	8
cp17_S12	8
cp17_S14	7
cp17_S15	8
cp17_S16	8
cp17_S17	8
cp17_S23	6
cp17_S28	8
cp17_S31	6
cp17_S32	7
cp17_S33	8
cp17_S35	7
cp17_S39	8
cp17_S40	3
cp17_S41	8
cp17_S42	6
cp17_S45	7
cp17_S47	7
cp17_S48	8
cp17_S49	8
cp17_S50	3
cp17_S51	8
cp17_S52	6
cp17_S53	7
cp17_S54	3
cp17_S56	7
cp17_S57	7
cp17_S58	8
cp17_S59	8
cp17_S60	8
cp17_S61	7
cp17_S62	8
cp17_S64	7
cp17_S65	3
cp17_S66	8
cp17_S68	8
cp17_S69	8
cp17_S73	8
cp17_S75	8
cp17_S76	6
cp17_S77	8
cp17_S80	8
cp17_S81	8
cp17_S82	1
cp17_S84	7
cp17_S85	7
cp17_S86	8
cp17_S87	3
cp17_S88	3
cp17_S89	8
cp17_S91	8
cp17_S92	6
cp17_S93	7
cp17_S94	8
cp17_S95	7
cp14_C92_g	6
cp14_C53_e	1
cp14_C61_e	7
gz17_S82	1
cp14_C26_g	8
cp14_C66_e	1
cp14_C95_g	7
cp14_C15_g	5
cp17_S37	7
cp14_C01_g	7
gz17_S01	11
cp14_C25_g	1
cp14_C93_d	8
gz17_S93	2
gz17_S04	5
cp14_C31_e	8
cp14_C78_r	11
cp17_S63	8
cp14_C58_e	11
cp14_C03_g	11
cp14_C17_r	1
gz17_S94	4
cp14_C50_e	1
cp14_C89_d	7
cp14_C65_r	3
gz17_S67	5
cp14_C60_e	1
cp14_C69_g	1
gz17_S72	4
cp14_C83_g	11
cp14_C85_r	1
gz17_S83	5
cp17_S04	8
cp14_C43_g	11
cp14_C88_e	8
cp14_C72_e	11
cp17_S70	1
cp17_S44	1
gz17_S55	6
cp14_C79_e	1
cp17_S43	8
gz14_C90_g	10
cp17_S07	8
cp14_C96_e	1
gz17_S39	9
gz17_S46	5
cp14_C68_g	1
cp17_S46	6
gz17_S31	6
cp14_C36_g	8
