hsa-miR-101,hsa-miR-101-3p
hsa-miR-145,hsa-miR-145-5p
hsa-miR-181c,hsa-miR-181c-5p
hsa-miR-19a,hsa-miR-19a-3p
hsa-miR-221,hsa-miR-221-3p
hsa-miR-34a,hsa-miR-34a-5p
hsa-miR-92a,hsa-miR-92a-3p
hsa-miR-105_2167,hsa-miR-105-5p
hsa-miR-185_2271,hsa-miR-185-5p
hsa-miR-411_1610,hsa-miR-411-5p
hsa-miR-520b,hsa-miR-520b
RUN44,RNU44
hsa-miR-106a,hsa-miR-106a-5p
hsa-miR-148,hsa-miR-148a-3p
hsa-miR-183,hsa-miR-183-5p
hsa-miR-19b_396,hsa-miR-19b-3p
hsa-miR-23a,hsa-miR-23a-3p
hsa-miR-371,hsa-miR-376a-3p
hsa-miR-98,hsa-miR-98-5p
hsa-miR-125a-3p_2199,hsa-miR-125a-3p
hsa-miR-220_523,hsa-miR-220_523
hsa-miR-422a_2297,hsa-miR-422a
hsa-miR-520d-5p,hsa-miR-520d-5p
miR-512-3p,hsa-miR-512-3p
hsa-miR-106b,hsa-miR-106b-5p
hsa-miR-152,hsa-miR-152-3p
hsa-miR-18a,hsa-miR-18a-5p
hsa-miR-20a_580,hsa-miR-20a-5p
hsa-miR-23b,hsa-miR-23b-3p
hsa-miR-372,hsa-miR-372-3p
hsa-miR-99a,hsa-miR-99a-5p
hsa-miR-125a-5p_2198,hsa-miR-125a-5p
hsa-miR-222_2276,hsa-miR-222-3p
hsa-miR-425-5p_1516,hsa-miR-425-5p
hsa-miR-520f,hsa-miR-520f-3p
miR-518e,hsa-miR-518e-3p
hsa-miR-124a,hsa-miR-124-3p
hsa-miR-155,hsa-miR-155-5p
hsa-miR-184,hsa-miR-184
hsa-miR-20b,hsa-miR-20b-5p
hsa-miR-24,hsa-miR-24-3p
hsa-miR-424,hsa-miR-424-5p
hsa-miR-99b,hsa-miR-99b-5p
hsa-miR-125b_449,hsa-miR-125b-5p
hsa-miR-28_411,hsa-miR-28-5p
hsa-miR-433_1028,hsa-miR-433-3p
hsa-miR-521,hsa-miR-521
miR-150,hsa-miR-150-5p
hsa-miR-130b,hsa-miR-130b-3p
hsa-miR-15a,hsa-miR-15a-5p
hsa-miR-190,hsa-miR-190a-5p
hsa-miR-21,hsa-miR-21-5p
hsa-miR-27b,hsa-miR-27b-3p
hsa-miR-454,hsa-miR-454-3p
let-7a,hsa-let-7a-5p
hsa-miR-126_2228,hsa-miR-126-3p
hsa-miR-29a_2112,hsa-miR-29a-3p
hsa-miR-452_2329,hsa-miR-452-5p
hsa-miR-523,hsa-miR-523-3p
miR-200c,hsa-miR-200c-3p
hsa-miR-136,hsa-miR-136-5p
hsa-miR-15b,hsa-miR-15b-5p
hsa-miR-193b,hsa-miR-193b-3p
hsa-miR-210,hsa-miR-210-3p
hsa-miR-29b,hsa-miR-29b-3p
hsa-miR-503,hsa-miR-503-5p
has-miR-519a,hsa-miR-519a-3p
hsa-miR-148b_471,hsa-miR-148b-3p
hsa-miR-320_2277,hsa-miR-320a
hsa-miR-491_1630,hsa-miR-491-5p
hsa-miR-708,hsa-miR-708-5p
miR-517a,hsa-miR-517a-3p
hsa-miR-205,hsa-miR-205-5p
hsa-miR-16,hsa-miR-16-5p
hsa-miR-196b,hsa-miR-196b-5p
hsa-miR-214_2306,hsa-miR-214-3p
hsa-miR-301b,hsa-miR-301b-3p
hsa-miR-542,hsa-miR-377-3p
mmu-miR-137,hsa-miR-137
hsa-miR-149_2255,hsa-miR-149-5p
hsa-miR-363_1271,hsa-miR-363-3p
hsa-miR-517c_1153,hsa-miR-517c-3p
hsa-miR-93,hsa-miR-93-5p
miR-518b,hsa-miR-518b
hsa-miR-143,hsa-miR-143-3p
hsa-miR-181a,hsa-miR-181a-5p
hsa-miR-199a-3p,hsa-miR-199a-3p
hsa-miR-218,hsa-miR-218-5p
hsa-miR-324-3p,hsa-miR-324-3p
hsa-miR-9,hsa-miR-9-5p
hsa-miR-100_437,hsa-miR-100-5p
hsa-miR-17_2308,hsa-miR-17-5p
hsa-miR-370_2275,hsa-miR-370-3p
hsa-miR-518d_1159,hsa-miR-518d-3p
U6,U6 snRNA
miR-519d,hsa-miR-519d-3p
