"","X","Cluster","hsa-miR-101-3p","hsa-miR-145-5p","hsa-miR-181c-5p","hsa-miR-19a-3p","hsa-miR-221-3p","hsa-miR-34a-5p","hsa-miR-92a-3p","hsa-miR-105-5p","hsa-miR-185-5p","hsa-miR-411-5p","hsa-miR-520b","hsa-miR-106a-5p","hsa-miR-148a-3p","hsa-miR-19b-3p","hsa-miR-98-5p","hsa-miR-125a-3p","hsa-miR-422a","hsa-miR-520d-5p","hsa-miR-512-3p","hsa-miR-106b-5p","hsa-miR-152-3p","hsa-miR-18a-5p","hsa-miR-20a-5p","hsa-miR-23b-3p","hsa-miR-372-3p","hsa-miR-99a-5p","hsa-miR-125a-5p","hsa-miR-222-3p","hsa-miR-425-5p","hsa-miR-520f-3p","hsa-miR-518e-3p","hsa-miR-124-3p","hsa-miR-155-5p","hsa-miR-184","hsa-miR-20b-5p","hsa-miR-24-3p","hsa-miR-99b-5p","hsa-miR-125b-5p","hsa-miR-28-5p","hsa-miR-433-3p","hsa-miR-521","hsa-miR-150-5p","hsa-miR-130b-3p","hsa-miR-15a-5p","hsa-miR-190a-5p","hsa-miR-21-5p","hsa-miR-27b-3p","hsa-miR-454-3p","hsa-let-7a-5p","hsa-miR-126-3p","hsa-miR-29a-3p","hsa-miR-452-5p","hsa-miR-523-3p","hsa-miR-136-5p","hsa-miR-15b-5p","hsa-miR-193b-3p","hsa-miR-210-3p","hsa-miR-29b-3p","hsa-miR-519a-3p","hsa-miR-148b-3p","hsa-miR-320a","hsa-miR-491-5p","hsa-miR-708-5p","hsa-miR-517a-3p","hsa-miR-205-5p","hsa-miR-16-5p","hsa-miR-196b-5p","hsa-miR-214-3p","hsa-miR-301b-3p","hsa-miR-137","hsa-miR-149-5p","hsa-miR-363-3p","hsa-miR-517c-3p","hsa-miR-93-5p","hsa-miR-518b","hsa-miR-143-3p","hsa-miR-181a-5p","hsa-miR-199a-3p","hsa-miR-218-5p","hsa-miR-324-3p","hsa-miR-9-5p","hsa-miR-100-5p","hsa-miR-17-5p","hsa-miR-370-3p","hsa-miR-518d-3p","ACR2B","BHLHE22","CORO1C","MDGA2","NRXN1","SATB2","TAGLN3","TUBA1A","ZFHX3","ADCY4","DDAH1","ETV5","ADRA2A","CBX1","CUX1","MEF2C","POU2F1","SCN3B","TCF4","TUBB3","ZFHX4","AGT","DLC1","FAM107A","ALDOA","CBX2","DHFR","MIR137HG","POU3F1","SEMA3C","TGFBR1","UBA1","ZHX2","AQP4","DLX2","FBXO32","ANK2","CBX5","DLL1","NFASC","PTPRD","SEZ6","THBS1","UBA5","ZIC5","BMPR1B","DLX5","FN1","ASCL1","CDK5RAP1","DPYSL3","NFIB","QKI","SNAI2","UBE2R2","C3","DLX6-AS1","GLI3","AUTS2","CLOCK","ELAVL2","NOVA1","RBFOX1","SNX7","TNRC6C","UBE4B","CLDN10","ENG","GPX3","BAZ2A","CNN3","FGF12","NR4A1","ROBO2","SOX11","TSC22D1","VCPIP1","TNC-31358-i20","CLU","EOMES","GRIA2","BCL11B","CNTNAP2","KIF26B","NR4A2","RUNX1T1","STMN1","TSC22D2","ZEB2","ZIC2-12291-i0","CSF3R","ERBB4","HES1","HOPX","NEUROG1-2E","PTPRZ1","APC","CENPF","FOXN4","GPSM2","LRIG3","PAG1","PRKCI","SALL3","TBR1","IFITM1-2B","NKX2-2","SATB2-3H","ASCL1-1","Cldn11","GAD1","HES1-1","MAGOH","PALLD","PRKCZ","SLC1A3","TFAP2C","ITGAX-2G","NRP1-3F","SEMA3C-3G","ASPM","COL4A5","GADD45G","HES5","MARCKS","PARD3","PROM1","Sox10","TJP1","LIFR","OLIG1-3A","SFRP2","ATAD2","COL4A6","GAPDH","HSPB1","MKI67","PARD6A","Prss12","SOX2","Tmem88","LRIG3-1","OLIG2-3B","SLA-3D","ATF2","CTNNA1","GFAP","IGFBP5","NES","Parp10","PSAT1","SOX21","VCL","MOXD1","PDGFD","SOX2-1","BRCA1","CTNNB1","GIGYF2","ITGB3","NEUROG2","PAX6","PTPRM","SOX3","VIM","NEUROD4","PDGFRA-3C","STOX1","BTG2","CUX2","GJA1","Itih4","Nipsnap1","Pcbp2","RBFOX3","SOX5","ZBTB20","NEUROD6","PPP1R17","TAGLN2","TPGS2","Dcbld1","GJB2","Lims2","NKX2-2-1","PDGFD-1","RPS5","STOX1-1","ZIC2"
"1","cp14_C51_r",1,0,0,192.7800893,2178.631319,201.4582442,839.7009357,1513.94764,0,754.0735572,0,150.4326694,7715.751852,0,12811.17726,0,206.3398189,300.7263398,0,0,4285.205096,0,0,5870.131024,0,18.13240852,1318.34812,528.479828,2295.476139,0,82.5329075,3195.239749,915.9391522,117.6423143,0,1468.08358,1176.522108,0,5169.300175,0,0,41.12329771,1118.23045,948.3393141,0,0,0,0,109.2876952,0,0,538.6416709,0,577.8606215,138.4842614,860.2146969,0,1218.369554,0,0,0,1051.722434,12.22779983,2227.596785,0,758.8946742,856.9587077,0,4897.159331,1070.209626,46.52580428,1278.875635,350.0045423,0,25.24281659,36.83336937,0,506.2326857,0,16.45306968,16538.93217,12522.16152,1261.575812,7393.826679,0,806.3342537,1824.815385,0,0,0,3641.189007,12239.69498,3431.678349,26375.04491,0,0,0,0,10718.13963,10320.54874,0,2854.020743,0,4594.997735,9019.381879,15357.94558,0,0,0,0,2304.796381,0,0,0,2361.245014,4647.395693,4306.168969,5178.016923,0,0,0,1651.385635,5109.723677,5813.924495,0,3452.35642,5925.370028,4336.072549,3253.375894,3293.343216,0,0,0,0,0,0,11436.37269,7345.812262,1687.193094,0,5749.731912,0,2240.629328,0,2154.970247,0,3241.470763,530.5983191,10274.47605,0,0,2200.501699,0,0,0,1461.951631,2957.149693,0,0,0,19015.99627,0,0,0,511.2707603,0,0,2851.484875,0,3395.455183,2968.955512,3150.346749,17504.11177,2410.529049,6680.08808,0,0,0,0,0,0,4148.094569,1944.309239,0,0,0,0,0,0,0,2980.299885,0,0,9444.127445,0,0,0,0,0,0,0,0,0,0,0,3777.266606,0,0,0,0,1172.460476,0,0,0,0,0,0,0,0,0,5260.173736,0,0,0,929.9543351,0,0,0,0,3496.455043,0,0,0,0,0,0,0,0,0,0,0,0,0,1730.110999,994.7017986,0,232.43118,0,0,0,3806.875596,0,0,0,0,377.3446213,0,0,1699.248436,4357.240438,908.5528737,1370.581112,0,0,0,0,2291.051979,0,0,0,0,0,6285.993892,0,0
"2","cp14_C06_r",3,0,0,189.7105933,203.7294665,0,1107.427467,672.4924637,0,0,0,565.0047045,2835.108602,0,2453.867023,0,51.70636408,78.93105459,144.4473398,0,3262.720637,0,0,894.0162937,0,12.59157005,948.700436,0,739.4636654,0,0,3730.903875,1423.842367,21.89416516,0,0,0,0,928.4988126,0,0,36.1412713,1065.758207,0,0,0,0,0,51585.15789,0,166.492945,0,0,393.3364759,0,0,14.92245564,0,0,0,0,904.7005072,0,177.2340126,0,735.9074043,0,0,14179.81761,0,0,0,0,0,0,33.6691835,0,410.2615841,0,112.2049062,302.866354,2206.850486,1283.710509,2596.677426,0,210.3540056,0,0,0,2172.614853,1886.346367,3392.650017,0,4106.822902,0,0,0,0,3972.581879,3937.601808,0,0,0,0,4856.965321,0,0,0,0,0,1315.123258,0,4964.783338,0,2877.929598,0,0,2129.725532,0,0,0,0,0,0,0,0,0,0,3062.152027,5092.354749,0,0,0,0,135.3033013,0,0,3716.610303,0,0,0,0,0,0,2158.228348,0,0,0,1671.676313,0,0,0,0,3729.200138,0,989.5044945,547.3955192,0,2767.214763,0,7059.960591,4513.344071,0,0,530.3820867,0,0,3265.672067,0,0,0,0,0,0,4101.645879,0,0,0,0,0,1956.074828,2187.680508,0,0,0,0,0,0,0,0,98.19754761,0,0,2836.04741,130.6569068,0,0,432.6123782,0,0,0,2475.691227,0,0,0,0,0,0,0,93.32806733,278.7250832,0,0,0,0,0,0,0,0,0,516.4307927,0,0,0,0,2494.479046,1931.191425,0,0,562.7970554,0,0,0,0,0,154.7928888,0,1027.593443,0,0,0,2547.516932,0,795.6909307,0,0,431.8948864,824.2324709,0,1119.198323,1479.117322,0,0,2421.165863,0,0,0,0,1980.927755,1708.478024,0,0,0,0,0,2055.598786,0,0,0,0,0,0,0,2548.270521,0
"3","cp14_C04_r",7,0,0,0,279.3335728,0,1011.896494,628.457202,0,0,0,579.3667479,1696.578877,0,2439.621086,0,24.10642685,503.6126826,0,0,1426.990678,0,0,271.717709,0,17.17488894,0,0,960.5485599,0,421.117633,3265.706349,632.4361,106.8628882,3.512658488,0,1459.477764,0,1845.198168,0,0,0,2186.305633,0,0,2.427706035,0,0,50062.78631,0,0,162.370839,0,591.8472672,0,0,0,0,0,0,0,191.0986458,0,9.047593018,0,478.5050117,0,0,18022.33493,0,0,0,272.7736753,0,0,15.21332647,0,248.6252782,0,47.83792573,134.7949768,2517.706271,0,1285.734187,0,740.1620543,46.93624296,0,0,0,3466.009119,0,0,3403.600325,0,0,0,0,2392.713607,2763.656747,0,5358.567972,0,0,0,2536.306081,0,0,0,1050.401572,2698.25682,0,0,0,3438.217389,0,2574.1501,3910.998507,0,0,0,0,0,3108.772201,0,0,5921.391409,2456.508677,0,5421.184493,0,0,0,623.3343296,183.7433759,0,0,0,0,151.0896007,0,0,0,0,3797.12327,0,0,0,0,0,0,0,127.2048083,1960.215937,0,711.492291,495.2850674,0,0,219.9364201,798.4059351,1535.955182,0,0,848.4709381,0,588.6810941,2043.969332,0,0,944.0066026,0,4180.044585,0,0,0,0,0,2897.842409,0,3420.501317,0,0,0,0,0,0,0,0,0,490.8253882,0,0,0,381.7548101,0,0,2557.328238,0,0,0,265.5863887,0,0,0,0,0,0,0,202.7448798,0,0,0,0,0,0,1727.448937,0,0,0,1195.279768,0,0,739.0796471,0,641.6613184,1163.910682,0,0,1919.297669,0,0,0,0,0,0,660.2381533,0,0,0,0,851.6544262,0,0,0,0,679.5681228,1468.873097,0,1380.693164,1300.75566,0,0,2733.015828,0,0,0,0,2268.468192,588.4929573,0,0,0,0,0,1671.761203,0,0,0,0,0,0,80.14962748,2536.228958,0
"4","cp14_C21_r",7,0,0,217.6264304,231.5769,0,1005.54156,631.5666254,0,0,0,0,1690.506438,24.23909459,1674.914342,0,101.4381174,323.5800652,268.7463685,0,4811.333054,0,0,8.918398191,0,49.22589853,0,0,347.3674132,0,134.9685371,3000.864568,3043.320499,166.0160501,159.8525463,0,0,16.48311517,0,0,0,58.4918271,836.0397544,0,0,0,0,0,48741.48739,0,0,246.2411066,0,465.2645556,0,0,0,0,0,0,0,0,0,566.6394532,0,513.7444987,0,0,16902.43859,0,0,0,15.0774837,0,0,34.722439,0,452.6906237,0,9.673510022,591.0150507,2921.179913,0,1805.177304,0,582.6054956,0,0,0,937.0366686,1476.524403,0,0,579.1210231,0,0,0,0,4000.264501,5667.643681,0,0,0,0,0,0,0,0,0,0,2061.606899,0,4657.747414,0,0,0,0,1817.941185,0,0,0,0,0,0,0,0,1278.992341,0,5794.84473,5486.707361,0,0,0,0,0,0,0,0,198.1033958,0,0,0,0,0,2166.387614,0,0,0,0,689.5925126,0,0,0,3481.824642,0,0,278.7389532,0,2385.284672,0,608.3642177,4347.947635,0,0,409.4411786,0,0,0,0,0,0,0,1793.231933,0,0,0,0,0,310.5391259,0,2660.128956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600.594276,0,109.5804023,0,2339.226987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2044.82257,0,0,793.4899333,0,1760.935797,720.3277057,0,0,0,0,0,0,0,0,293.407607,0,941.3999231,0,0,0,2248.241774,0,1188.09809,0,0,682.322242,906.7839874,0,389.4982065,1139.496952,0,0,2850.894507,0,0,0,0,1863.50097,2628.228164,0,0,0,0,0,1589.418889,0,0,0,0,0,0,2974.65328,2655.183778,0
"5","cp14_C20_r",7,0,0,176.3314442,346.9982448,0,850.7348415,607.6798356,0,0,0,502.5260745,2914.847802,0,2672.058531,0,112.3786906,452.4713641,0,0,2859.225786,0,0,380.0581509,0,6.38636644,0,263.0243644,472.2443317,0,0,2812.209843,1396.790407,14.52160705,0,0,2279.911874,83.43074078,1056.925783,0,0,110.837649,548.5065107,0,0,0,0,0,980.2251311,0,128.998787,220.8562149,0,638.9624831,0,0,0,0,0,0,0,745.286109,0,282.4453512,0,446.0858482,0,0,11681.06265,0,0,0,213.02944,0,0,43.82601443,0,423.258422,0,5.800643496,387.8676384,2619.379337,0,2384.403631,0,1139.972716,0,192.1521888,0,1646.811708,1473.313426,0,0,6283.009364,0,0,0,0,3006.104413,5362.24726,2423.136304,0,0,53.0843593,2631.962576,0,0,0,0,239.8630903,1481.383173,0,5742.879558,0,0,0,0,3797.298536,0,0,0,0,0,0,0,0,2371.405413,0,4985.106929,3489.632425,0,0,0,0,514.9467063,0,0,0,2936.802882,452.2860127,0,0,3856.35461,0,2018.521153,0,2558.747868,0,0,0,0,0,0,3674.485938,0,0,582.658299,0,2904.556473,0,5166.699062,4748.385038,0,0,590.9495353,0,591.3219906,0,5312.958855,0,1965.127951,0,1444.575282,0,1483.260047,0,0,2387.121933,0,0,2663.928388,0,0,0,0,0,0,0,0,0,0,0,0,0,639.16924,0,1690.911315,0,0,74.8597474,0,2737.297774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1556.77605,0,0,0,0,2325.051376,0,0,0,0,0,0,0,0,0,0,276.8752133,964.4792199,0,0,0,2579.476397,0,597.945187,0,0,645.3902577,476.2248025,0,1097.862677,0,0,0,5466.828397,0,0,0,0,1317.44864,0,0,0,0,0,0,2250.416796,0,0,0,0,0,0,0,4791.598497,0
"6","cp14_C28_r",3,0,0,293.601134,442.4552062,0,503.3606295,909.2853476,0,0,0,392.9264768,2328.908196,0,3029.24121,0,15.70648063,30.56577803,0,225.3779062,5005.669206,0,0,334.8432581,0,22.92681915,0,0,685.4118978,0,0,3672.306081,2357.212457,13.02930775,0,0,1686.529999,0,759.516873,0,0,194.742856,1770.13985,0,135.30492,0,0,0,49652.56284,0,0,186.8927462,0,283.345498,0,0,0,0,0,5.196618608,0,832.4593297,0,139.1768341,0,638.4859994,0,0,15560.72906,0,0,0,636.3710432,0,0,73.68077417,0,444.0148922,0,249.0770272,210.9445684,3933.828152,0,1852.521627,0,299.9751381,393.536451,0,0,2023.225521,4059.478448,4855.151891,0,6646.609522,0,0,0,0,6158.565559,4067.888231,0,6001.121775,0,0,2977.796295,0,0,0,0,385.2434079,0,214.1833265,6642.727189,0,0,3010.684123,0,2280.240073,0,0,0,0,0,0,3183.218812,0,5801.084907,0,561.5943749,4458.151473,0,0,0,0,552.2582709,0,0,0,0,0,0,0,0,0,2944.980671,0,0,0,0,0,0,0,0,2122.998829,0,0,1018.377119,0,1725.824717,3497.510165,1226.858658,0,0,0,584.7465907,0,0,76.02270741,0,0,1392.632209,0,2872.507043,0,3193.916243,0,0,0,0,0,2816.548072,2203.085927,1482.561051,0,0,0,0,0,0,0,0,0,0,4292.862176,744.9185146,0,0,0,967.82724,77.62125505,0,0,0,0,0,2671.062956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1691.783141,0,0,0,0,5088.56623,0,0,0,0,0,0,0,0,0,0,1048.848508,538.4176579,0,0,0,5145.95366,0,1911.845632,0,0,510.7879303,1549.549734,0,1466.962768,2453.61811,0,0,3086.403523,0,0,0,0,1145.572833,819.3306643,658.5869387,0,0,0,0,2303.727524,0,0,0,0,0,0,0,3268.23172,0
"7","cp14_C33_r",7,0,0,0,215.1690008,0,525.9580315,629.9463631,0,0,0,466.3672741,2636.27784,0,3017.693256,0,7.36650703,170.3882653,10.21738652,0,3774.191288,0,0,587.3378163,0,4.368261382,0,302.9001002,643.9094934,0,29.63068174,3274.409688,1159.800842,179.1352864,0,0,0,26.82497786,1237.978389,0,30.09420134,19.36007035,384.6900741,0,0,0,0,0,58427.95296,0,0,25.10379037,0,1432.818684,0,0,0,0,0,0,0,862.6587341,0,333.1464084,0,307.9559548,0,0,8591.294639,0,0,0,77.31040497,0,0,33.35594744,0,281.7622989,0,658.4299587,267.7590626,1982.906773,0,2370.593827,0,0,0,0,0,1260.490815,2211.078483,0,0,5625.505284,0,0,0,0,2037.034522,2539.312789,0,227.5713451,0,0,0,0,0,0,0,691.4291393,1387.376445,0,5873.454437,0,3882.58293,0,0,3453.921707,0,0,0,0,0,0,0,0,3258.19107,3929.796185,5210.236808,2888.043486,0,0,0,0,621.5681846,0,0,0,0,0,0,0,0,0,2031.755114,0,0,0,0,0,0,0,1036.110455,804.5852027,0,431.6873584,1983.096078,0,2121.574941,0,1712.856702,1971.98186,0,0,627.6235711,0,0,4092.952958,0,0,5568.524964,0,1689.069364,0,2489.767696,0,0,0,0,0,2383.994125,0,474.6410881,0,0,0,0,0,0,0,808.5433973,0,0,0,327.7862177,0,0,0,0,0,0,2750.409657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076.377956,0,0,0,824.8763594,0,0,0,0,2348.759717,986.3200801,0,0,2420.427398,0,0,0,0,0,0,227.0178393,690.9619256,0,0,0,3044.570912,0,2067.062342,0,0,435.022162,1199.594889,0,1486.974431,1365.107202,0,0,4819.689814,0,0,0,0,1899.023792,0,0,252.8486473,0,0,0,1245.214788,0,0,0,0,0,0,729.8503748,4892.015434,0
"8","cp14_C37_r",1,0,0,1051.8309,1705.88644,0,793.2212489,2411.637738,0,0,0,188.8351331,5011.99903,0,9838.187463,0,177.1310107,0,46.44908686,0,6894.400247,0,0,4821.748643,0,4.90647786,0,0,2347.011906,0,0,3222.63597,1075.632007,47.57215153,0,1113.243058,4309.965543,0,5825.621843,0,0,29.00537015,1141.197491,436.6105406,0,0,0,0,49036.77842,40.25428225,232.1886273,1346.927101,0,1064.925747,269.1252567,0,0,0,0,0,0,1812.76415,0,1452.042555,30.75660685,494.4676133,1069.337395,0,12519.54447,115.0895588,0,0,224.2995087,0,20.41371718,157.9443769,0,2280.798365,0,7.274743772,478.2495481,12015.12752,0,4643.762053,0,0,2009.696382,0,0,590.1768659,3631.403771,11838.15429,5837.075162,17969.35532,0,0,0,0,12801.27679,11422.93834,4825.530383,5973.297286,0,2354.877854,10468.4013,12435.21616,0,0,0,495.7190823,3996.746638,2294.772438,6839.477857,0,3773.178495,6514.088613,5113.218068,9092.8046,0,0,0,0,5764.93072,4327.207252,0,3191.461625,9188.770437,7764.545833,8019.408671,5795.307349,0,0,0,0,402.0804888,0,8541.35348,6735.034521,7370.436539,427.925206,5899.476705,0,0,0,3435.403564,3025.308478,5253.61371,4792.297246,3991.300095,0,310.9083051,0,650.508564,5355.297641,0,519.3947622,3639.782998,2666.617031,2849.495018,0,21123.1042,5873.528268,0,0,661.4541424,0,4956.622823,0,0,0,1876.941689,6520.520402,13944.62976,0,10669.58262,0,0,0,592.4664111,0,2755.247472,5957.397814,2268.137921,0,0,0,0,0,1967.989073,0,3411.57257,0,0,10092.16512,482.4791756,0,0,599.0685453,0,1650.709289,0,3659.378525,0,0,1459.671848,5671.146343,0,0,0,0,1024.726667,0,0,0,0,0,1854.025614,0,0,0,4549.112081,0,0,0,2917.971142,2813.49585,1423.46389,0,300.9842458,9607.197361,0,0,0,0,0,0,0,0,0,0,0,3294.765096,0,4111.035772,0,0,2032.857383,1212.879244,0,0,3828.818507,0,0,5095.97516,0,352.6436521,0,0,2643.6633,5248.680702,0,1804.283849,0,0,0,3171.996327,0,0,0,0,0,0,4581.238511,5331.133243,0
"9","cp14_C41_r",7,0,0,121.4458356,312.3029453,0,864.8226452,726.319604,0,0,0,426.6031476,1730.471253,0,1756.158404,0,38.02726656,175.6963603,0,193.2272774,3020.881568,0,0,351.3144872,0,17.47575924,0,0,1.880938443,0,0,3314.924634,513.3405494,67.28911703,0,0,1246.515157,0,2391.630161,0,0,14.01618172,535.9362868,0,0,0,0,0,14.39736082,0,0,17.4248495,0,651.9020469,58.84877911,0,0,0,0,0,0,204.0188007,0,270.0612925,16.83044941,466.5827224,0,0,14795.26124,0,0,0,175.1330809,0,0,114.8850339,0,473.8172557,0,1892.261809,372.7054254,2927.027074,0,1504.030669,0,674.6312745,612.5467243,0,0,2848.539053,4172.166159,0,0,2603.503201,0,0,0,0,5918.338875,5105.952832,0,0,0,0,0,0,0,0,0,1272.109761,2960.580753,0,5757.493951,2888.306259,234.6634,0,0,1969.982823,0,0,0,0,0,0,0,0,2465.358686,0,2697.870904,5235.613648,0,0,0,0,955.283814,0,0,3057.546808,0,765.9752013,0,0,0,0,2052.685489,0,0,0,0,0,533.4850473,0,0,2854.793812,0,0,442.7762057,0,1771.406386,0,3329.724468,0,0,0,577.8818906,0,573.3080753,2177.553705,0,0,0,0,2380.564313,0,0,0,0,0,1194.897991,0,1042.981165,0,0,0,0,0,0,0,0,0,0,0,0,0,654.7754066,0,0,1481.00541,0,62.94564757,0,2638.51211,0,0,0,0,0,0,0,47.17068904,0,0,0,0,0,0,1000.338507,0,0,0,1543.248314,0,0,0,0,0,1574.512663,0,0,0,0,0,0,0,0,450.5429254,0,1739.389759,0,0,0,0,0,3251.605932,0,0,604.507576,385.0218591,0,987.792514,0,0,0,4373.555693,0,0,108.6151467,0,1584.062321,1013.365048,0,0,0,0,0,2865.879112,0,0,0,89.51975079,0,0,320.4728914,4254.986753,0
"10","cp14_C45_r",3,0,0,0,0,711.0973921,1026.059039,717.0998721,0,0,0,265.6957425,1696.331516,0,0,0,0,22.44213327,139.1918562,0,3994.665095,0,0,284.0009942,0,11.74466131,0,0,549.6850187,0,28.39969489,3617.707169,0,192.2957304,1.916461067,0,0,0,1191.167734,0,0,63.10453618,1123.126185,0,0,0,0,0,39417.71784,0,0,14.39101725,0,552.4758549,0,0,0,0,0,3.631137584,0,0,0,568.7244704,0,399.8461468,0,0,15475.95679,0,0,0,280.9367775,0,0,29.40410564,0,211.6684733,0,33.94013116,9.271263856,4179.449316,0,1776.379454,0,476.138768,0,0,3494.837813,0,2015.902928,3104.041789,0,1158.021927,3617.144569,0,0,0,7165.584101,5596.304529,0,3036.989763,0,3030.5477,0,107.6697202,0,0,0,1437.571298,3128.771078,0,6953.959165,0,5389.303334,3359.265702,0,2599.539254,0,0,0,0,0,0,0,0,5894.936491,2977.312232,6081.743137,6696.061764,0,0,0,0,0,2739.672579,3310.146021,0,0,1182.536136,0,0,0,0,1847.127439,0,0,0,0,0,0,0,0,5143.146149,0,876.2441578,2324.159589,0,2509.661277,0,3459.952412,5821.94157,0,294.1702691,399.5694202,0,520.4717881,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.284739,0,0,0,0,0,0,2534.385094,0,0,1683.686546,0,482.4574298,2541.262524,0,0,0,0,0,0,0,3961.263415,0,0,0,2951.527933,0,0,0,227.3626051,472.6889732,0,0,0,0,0,2634.072556,0,0,0,3684.329599,0,0,1303.002074,0,4266.168564,2365.34605,0,0,2216.218776,0,0,0,0,0,478.8963286,691.567322,2649.284493,0,0,0,4546.827702,0,4611.454826,0,0,1392.572009,1158.444795,0,2815.53542,4177.277643,0,0,4232.860256,0,0,0,0,3188.020454,2977.500221,0,194.9767561,0,0,0,3814.777625,0,0,0,0,273.6316631,0,0,4469.42493,0
